Profession,Commentaires
Médecin,Il y a trop de bugs dans les systèmes.
Médecin,Le temps passé à saisir les données est trop long.
Médecin,La gestion des dossiers est plus rapide et précise.
Administrateur,Il y a trop de bugs dans les systèmes.
Infirmier,Pas encore de changement majeur observé.
Infirmier,L'impact dépend de l'outil utilisé.
Infirmier,Les formations sur les outils numériques sont insuffisantes.
Médecin,Il y a trop de bugs dans les systèmes.
Administrateur,Le temps passé à saisir les données est trop long.
Administrateur,Le temps passé à saisir les données est trop long.
Médecin,La gestion des dossiers est plus rapide et précise.
Infirmier,Pas encore de changement majeur observé.
Administrateur,Pas encore de changement majeur observé.
Infirmier,Les téléconsultations réduisent le stress lié aux déplacements.
Médecin,Pas encore de changement majeur observé.
Infirmier,La gestion des dossiers est plus rapide et précise.
Administrateur,Les outils numériques améliorent l'efficacité du travail.
Infirmier,Les outils numériques améliorent l'efficacité du travail.
Infirmier,Le temps passé à saisir les données est trop long.
Infirmier,Les résultats sont mitigés pour l'instant.
Administrateur,Il y a trop de bugs dans les systèmes.
Infirmier,Les outils numériques améliorent l'efficacité du travail.
Médecin,Le temps passé à saisir les données est trop long.
Médecin,Les téléconsultations réduisent le stress lié aux déplacements.
Infirmier,Les formations sur les outils numériques sont insuffisantes.
Médecin,Il y a trop de bugs dans les systèmes.
Médecin,Il y a trop de bugs dans les systèmes.
Infirmier,Il y a trop de bugs dans les systèmes.
Infirmier,Le temps passé à saisir les données est trop long.
Infirmier,Le temps passé à saisir les données est trop long.
Infirmier,Les outils numériques améliorent l'efficacité du travail.
Administrateur,L'impact dépend de l'outil utilisé.
Infirmier,La gestion des dossiers est plus rapide et précise.
Administrateur,Les formations sur les outils numériques sont insuffisantes.
Médecin,Les résultats sont mitigés pour l'instant.
Médecin,Les outils numériques améliorent l'efficacité du travail.
Administrateur,L'impact dépend de l'outil utilisé.
Administrateur,L'impact dépend de l'outil utilisé.
Administrateur,L'impact dépend de l'outil utilisé.
Administrateur,Les formations sur les outils numériques sont insuffisantes.
Médecin,Pas encore de changement majeur observé.
Administrateur,Les formations sur les outils numériques sont insuffisantes.
Infirmier,Les téléconsultations réduisent le stress lié aux déplacements.
Infirmier,Les téléconsultations réduisent le stress lié aux déplacements.
Médecin,L'impact dépend de l'outil utilisé.
Médecin,La gestion des dossiers est plus rapide et précise.
Administrateur,Les résultats sont mitigés pour l'instant.
Médecin,Il y a trop de bugs dans les systèmes.
Médecin,Il y a trop de bugs dans les systèmes.
Infirmier,Pas encore de changement majeur observé.
